Sr..No.,Date,Field.Code,Species,Location.Encounterd,Gear.Type,Boat.Name,No..of.Hauls,Tow.duration.hours,Average.Haul.Duration..Hours.,Condition.at.encounter.,Snout.to.Vent..cm.,Body.Length..cm.,Tail.Length..cm.,Weight..g.,Sex,Month,Year,Remarks
1,28-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,84.328,NA,265,Female,January,2016,
2,28-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,88.9,NA,400,Female,January,2016,
3,28-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,93.98,NA,465,Female,January,2016,
4,28-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,102.87,NA,335,Female,January,2016,
5,28-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,104.648,NA,395,Female,January,2016,
6,28-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,74.676,NA,245,Male,January,2016,
7,28-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,76.454,NA,150,Male,January,2016,
8,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,79.248,NA,320,,January,2016,
9,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,80.01,NA,235,,January,2016,
10,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,88.9,NA,335,,January,2016,
11,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,93.98,NA,280,,January,2016,
12,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,96.012,NA,370,,January,2016,
13,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,101.6,NA,335,,January,2016,
14,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,104.14,NA,395,,January,2016,
15,30-01-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,107.95,NA,490,,January,2016,
16,02-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,79.248,NA,265,,February,2016,
17,02-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,93.98,NA,360,,February,2016,
18,02-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,100.33,NA,530,,February,2016,
19,02-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,121.158,NA,870,,February,2016,
20,03-02-2016,CESS 2000,Hydrophis schistosus,Malvan,,,NA,NA,NA,Dead,89.6,113.6,14,520,Male,February,2016,HW to be measured
21,03-02-2016,CESS 2001,Hydrophis schistosus,Malvan,,,NA,NA,NA,Dead,78,82.8,4.8,255,Female,February,2016,"HW to be measured, gravid with 4 embryos - preserved"
22,03-02-2016,CESS 2002,Hydrophis schistosus,Malvan,,,NA,NA,NA,Dead,71.2,78.4,7.2,210,Female,February,2016,HW to be measured
23,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,68.58,NA,140,,February,2016,
24,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,75.946,NA,190,,February,2016,
25,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,77.724,NA,225,,February,2016,
26,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,78.74,NA,220,,February,2016,
27,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,86.868,NA,220,,February,2016,
28,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,88.138,NA,315,,February,2016,
29,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,91.44,NA,338,,February,2016,
30,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,93.98,NA,375,,February,2016,
31,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,1,NA,Alive,NA,99.06,NA,425,,February,2016,
32,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,2,NA,Alive,NA,101.6,NA,355,,February,2016,
33,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,101.6,NA,415,,February,2016,
